,Screen Size,Native Screen Resolution,Touchscreen Display,Convertible/Hybrid Display,Processor Type,Processor Cores,Processor Speed,Storage Drive Type,2-in-1,Processor Cache,Other Display Features,Year of Original Release,Display Type,Touchscreen,3D Capable Display,Screen Finish,Built-in Storage - Capacity GB,Built-in Storage Type,Solid-State Drive Capacity,RAM Size,RAM,Graphics Card,ENERGY STAR Qualified,Built-in Memory Card Reader,USB Ports,Integrated Wi-Fi,Webcam,Keyboard Language,Backlit Keyboard,Hard Disk Drive Capacity,Hard Drive Speed (Revolutions Per Minute),Colour,Optical Drive,Front Camera Still Resolution,Integrated Bluetooth,Approximate Battery Life,Pre-loaded Operating System,Compatible Memory Card Types,Operating System Language,Card Reader,Ethernet Port,Video Memory Configuration,Battery Type,Width,Height,Weight,Operating System,windows laptop,Type,Digital Download,CPU,Memory (RAM),Graphics,Disk Space,Internal or External,Other Input or Output Ports,Display Ports,HDCP Compliant,VR Ready,macbook,macbook_air,External Controls & Buttons,Wireless Carrier,Product Condition,Dedicated Video Memory Size,macbook_pro,Loaded Software,Wireless Display (WiDi) Capable,surface,chromebook,Battery - Number of Cells,gaming_laptop
75,,1920 x 1080,Yes,No,Intel Core i7-8550U,4,,,,8 MB,"15.6-inch FHD (1920 x 1080) Truelife, LED-Backlit On-cell Touch Display",,,,,,,,,,,,,,,,,,,,5400 rpm,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
76,,3840 x 2160,Yes,,Intel Core i7-8550U,4,1.8 GHz,,,,UHD; Glossy,,,,,,,,512 GB,,,,,,,,,,,,Not Applicable,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
77,15.6 in,1920 x 1080,Yes,No,AMD Ryzen 5 3500U,4,2.1 GHz,,,,FHD IPS micro-edge WLED-backlit touchscreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
78,15.6 in,1920 x 1080,Yes,No,AMD Ryzen 5 3500U,4,2.1 GHz,,,,FHD IPS micro-edge WLED-backlittouchscreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
79,15.6 in,1366x768,No,No,AMD Ryzen 5 3500U,4,2.1 GHz,,,,HD SVA BrightView WLED-backlit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
80,15.6 in,1920 x 1080,No,No,AMD Ryzen R7 3700U,4,2.3 GHz,,,2 MB L2 cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
81,15.6 in,1920 x 1080,No,No,Intel Core i5-10210U,4,1.6 GHz,,,,200nits; FHD 16:9; Anti-Glare; NTSC: 45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
82,15.6 in,1920 x 1080,No,No,Intel Core i5-10210U,4,1.60 GHz,,,6 MB Intel Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
83,15.6 in,1366 x 768,No,No,Intel Core i5-10210U,4,1.60 GHz,,,6 MB Intel Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
84,17.3 in,1600 x 900,No,No,Intel Core i5-10210U,4,1.60 GHz,,,6 MB Intel Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
85,14.0 in,1920 x 1080 (FHD),Yes,No,Intel Core i5-10210U,4,1.6 GHz,,,,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
86,14 in,1920 x 1080,No,No,8th Generation Intel Core i5-8250U Processor,4,1.6 GHz,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
87,15.6 in,1920 x 1080,No,No,8th Gen Intel Core i7-8565U,4,1.8 GHz,,,,"15.6"" FHD (1920x1080),Anti-glare ,IPS,16:9, Contrast Ratio: 600:1 ,Viewing Angle:170°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
88,15.6 in,1920 x 1080,No,,8th Gen Intel Core i7-8565U,4,1.8 GHz,,,8 MB,"15.6"" FHD (1920x1080),Anti-glare ,IPS,16:9, Contrast Ratio: 600:1 ,Viewing Angle:170°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
89,15.6 in,1920 x 1080,No,No,Intel Core i7-10510U,4,1.80 GHz,,,8 MB Intel Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
90,15.6 in,1920 x 1080,No,No,AMD Quad Core R5-3500U,4,2.1 GHz,,,,Slim 200nits; FHD 16:9; Anti-Glare; NTSC: 45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
91,14.0 in,1920 x 1080,No,No,AMD Quad Core R5-3500U,4,2.1 GHz,,,,250nits; FHD 16:9; Anti-Glare; NTSC: 72%; Wide View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
92,15.6 in,1920 x 1080,No,No,Intel Core i3-10110U,2,2.1 GHz,,,4 MB Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
93,15.6 in,1920 x 1080,No,No,AMD Ryzen 5 2500U,4,2 GHz,,,,"15.6-inch FHD (1920 x 1080) Anti-glare, LED-Backlit Display",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
94,15.6 in,1920 x 1080,No,No,"9th Generation Intel Core i5-9300H (8MB Cache, up to 4.1 GHz, 4 cores)",4,2.40 GHz,,,,15.6-inch FHD (1920 x 1080) Anti-glare LED Backlit Non-touch Narrow Border WVA Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
95,15.6 in,1920 x 1080,No,No,AMD Ryzen R5 3500U,4,2.1 GHz,,,2 MB L2 cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
96,15.6 in,1920 x 1080,No,No,AMD A12-9720P,4,2.7 GHz,,,192 KB (code) / 128 KB (data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
97,15.6 in,1920 x 1080,,,AMD A12-9720P,4,2.7 GHz,,,192 KB (code) / 128 KB (data),,,,,,,,,128 GB,,,,,,,,,,,2 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
98,15.6 in,1920 x 1080,,,Intel Core i7-6820HQ,4,2.7 GHz,,,8 MB,,,,,,,,,512 GB,16 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
99,15.6 in,1920 x 1080,,,Intel Core i7-6820HQ,4,2.7 GHz,,,8 MB,,,,,,,,,960 GB,16 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
100,15.6 in,1920 x 1080,,,Intel Core i7-6820HQ,4,2.7 GHz,,,8 MB,,,,,,,,,256 GB,32 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
101,15.6 in,1920 x 1080,,,Intel Core i7-6600U,2,2.8 GHz,,,4MB,,,,,,,,,256 GB,16 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
102,15.6 in,1920 x 1080,,,Intel Core i7-6600U,2,2.8 GHz,,,4MB,,,,,,,,,256 GB,8 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
103,15.6 in,1600 x 900,,,Intel Core i7-6600U,,2.6 GHz,,,4 MB,Intel Wireless Display (WiDi),,,,,,,,256 GB,16 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
104,14.1 in,1920 x 1080,,,Intel Core i7-6600U,2,2.6 GHz,,,4MB,,,,,,,,,256 GB,8 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
105,15.6 in,1920 x 1080,,No,Intel Core i5-7200U,2,2.5 GHz,,,,,,,,,,,,,8 GB,,,,,,,,,,1000 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
106,15.6 in,1920 x 1080,No,No,Intel Core i5-9300H,4,2.4 GHz,,,,FHD 16:9; 60Hz; 200nits; NTSC: 45%; Anti-Glare; WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
107,15.6 in,1920 x 1080,,,Intel Core i7-4810MQ,4,2.8 GHz,,,6MB,,,,,,,,,480 GB,16 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
108,13.3 in,1920 x 1080,No,No,8th Generation Intel Core i5-8265U,4,1.6 GHz,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
109,15.6 in,1366 x 768,Yes,No,8th Generation Intel Core i5-8265U,4,1.6 GHz,,,,HD SVA micro-edge WLED-backlittouch screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
110,15.6 in,1366 x 768,No,No,8th Generation Intel Core i5-8265U,4,1.6 GHz,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
111,,1366 x 768,Yes,No,8th Generation Intel Core i5-8265U,4,,,,6 MB,HD SVA micro-edge WLED-backlittouch screen,,,,,,,,,,,,,,,,,,,,5400 rpm,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
112,17.3 in,1600 x 900,No,No,8th Generation Intel Core i5-8265U,4,1.6 GHz,,,,HD+ SVA BrightView WLED-backlit Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
113,13.3 in,1920 x 1080,No,No,10th Gen Intel Core i5-10210U,4,1.6 GHz,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
114,15.6 in,1366 x 768,Yes,No,10th Gen Intel Core i5-10210U,4,1.6 GHz,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
115,17.3 in,1600 x 900,No,No,10th Gen Intel Core i5-10210U,4,1.6 GHz,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
116,14.0 in,1920 x 1080,No,No,"10th Gen Intel Core i5-1035G1 Processor (6MB Cache, up to 3.6 GHz)",4,1.00 GHz,,,,14.0-inch FHD (1920 x 1080) Anti-Glare LED Backlit Non-touch WVA Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
117,14.0 in,1920 x 1080,No,,Intel Pentium Silver N5000,4,1.1 GHz,,,,FHD; matte,,,,,,,,,,,,,,,,,,,64 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
118,14 in,1920 x 1080,,,Intel Core i5-6300U,2,2.4 GHz,,,3MB,,,,,,,,,256 GB,8 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
119,14.1 in,1920 x 1080,,,Intel Core i5-6300U,2,2.4 GHz,,,3MB,,,,,,,,,256 GB,8 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
120,14.1 in,1920 x 1080,,,Intel Core i5-6300U,2,2.4 GHz,,,3MB,,,,,,,,,256 GB,12 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
121,14.1 in,1920 x 1080,,,Intel Core i5-6300U,2,2.4 GHz,,,3MB,,,,,,,,,512 GB,12 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
122,14.1 in,1920 x 1080,,,Intel Core i5-6300U,2,2.4 GHz,,,3MB,,,,,,,,,512 GB,20 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
123,14 in,1366 x 768,,,Intel Core i5-6300U,2,2.4 GHz,,,3,,,,,,,,,512 GB,8 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
124,14.1 in,1920 x 1080,Yes,No,Intel Core i5-6300U,2,2.4 GHz,,,3MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
125,12.5 in,1366x768,No,No,Intel Core i5-6300U,2,2.4 GHz,,,3M SmartCache L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
126,14 in,1366x768,No,,Intel Core i5-6300U,2,2.4 GHz,,,3M SmartCache L2,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
127,14 in,1920 x 1080,No,No,Intel Pentium N5000,4,1.10 GHz,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
128,14 in,1920 x 1080,No,No,Intel Core i5 - 6300U,2,2.4 GHz,,,3 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
129,14 in,1920 x 1080,Yes,,Intel Core i7 - 7600U,2,2.8 GHz,,,4 MB,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
130,14 in,1920 x 1080,No,No,Intel 6th Gen i7-6600 Processor,,,,,,,,,,,,,,256 GB,16 GB,16GB,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
131,14 in,1920 x 1080,No,,"5th Generation Intel Core i5-5300u (2.3 GHz, 3MB L3 cache, 2 cores)",2,,,,,,,,,,,,,128 GB,8 GB,,,,,,,,,,128 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
132,13.3 in,1920 x 1080,No,No,"10th Gen Intel Core i5-10210U Processor (6MB Cache, up to 4.4 GHz)",4,1.60 GHz,,,,13.3-inch FHD (1920 x 1080) TrueLife LED Backlight Non-touch Narrow Border WVA Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
133,13.3 in,1920 x 1080,No,No,"10th Gen Intel Core i7-10710U Processor (12MB Cache, up to 4.6 GHz, 6 cores)",6,1.10 GHz,,,,13.3-inch FHD (1920 x 1080) InfinityEdge Non-Touch Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
134,13.3 in,1920 x 1080,No,,"Intel® Core™ i3-8145U (2.1 GHz base frequency, up to 3.9 GHz with Intel® Turbo Boost Technology, 4 MB cache, 2 cores)",,2.1 GHz,,,,,,,,,,,,128 GB,,8,Intel UHD Graphics 620,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
135,13.3 in,1920 x 1080,Yes,,Intel Core i5-8350U,4,1.7 GHz,,,6MB,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
136,,1920 x 1080,No,No,Intel Core i3-8130U,2,,,,,,,,,,,,,,,LPDDR3,Intel HD,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
137,,1920 x 1080,Yes,,Intel Core i5-8265U,4,,,,6 MB,"17.3"" diagonal Full HD touch display",,,,,,,,,,"12 GB DDR4-2400 SDRAM (1 x 4 GB, 1 x 8 GB)",,,,,,,,,,7200 rpm,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
138,,1920 x 1080,No,No,Intel Core i5-8265U,4,,,,,FHD; Matte,,,,,,,,,,DDR4,,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
139,,1920 x 1080,No,No,Intel Core i5-8265U,4,,,,,,,,,,,,,,,DDR4,Intel HD,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
140,,1920 x 1080,No,No,Intel Core i5-8265U,4,,,,6 MB Smart Cache,,,,,,,,,,,DDR4,,,,,,,,,,,,No,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
141,,1920 x 1080,No,No,Intel Core i5-8265U,4,,,,6 MB Smart Cache,,,,,,,,,,,8GB DDR4,,,,,,,,,,,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
142,,1920 x 1080,No,No,AMD Ryzen 5 2500U,4,,,,4MB,,,,,,,,,,,2400 MHz DDR4,,,,,,,,,,,,DVDRW,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
143,,1920 x 1080,No,No,AMD Ryzen 5 2500U,4,,,,,"15.6-inch FHD (1920 x 1080) Anti-glare, LED-Backlit Display",,,,,,,,,,4GB 2400MHz DDR4,,,,,,,,,,5400 rpm,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
144,,1920 x 1080,No,,Intel Pentium Silver N5000,4,,,,,FHD; matte,,,,,,,,,,,Intel HD,,,,,,,,,Not Applicable,,No,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
145,,1920 x 1080,Yes,No,Intel Core i7 8565U,,1.8 GHz,,,8 MB,,,,,,,,,512 GB,12 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
146,17.3 in,1920 x 1080,Yes,Yes,10th Gen Intel Core i7-10510U,4,1.8 GHz,,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
147,17.3 in,1920 x 1080,No,No,Intel i7-8565U,4,1.80 GHz,,,8MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
148,15.6 in,1920x1080,No,No,Intel i7-8565U,4,1.80 GHz,,,,15.6-inch FHD(1920x1080) Anti-Glare LED-Backlit Non-touch Display Narrow Border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
149,17.3 in,1920 x 1080,Yes,No,8th Generation Intel Core i7-8565U,4,1.8 GHz,,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
150,,1920 x 1080,,,"8th Gen Intel® Core™ i5 8265U (1.60GHz,",,,,,,,,,,,,,,,8 GB,8GB DDR4 2400MHz,AMD Radeon™ 540X 2GB,,,,Yes,,,,,,,,,Yes - Bluetooth® 5.0,,,,,,Ethernet,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
151,,1920 x 1080,Yes,,Core i5,,,,,6 MB,,,,,,,,,,,,,,,,Yes,,,,,,,No,,Yes,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,Yes,,,,,,,,,,,,,,
152,,1920 x 1080,,,Core i5,,,,,,,,,,,,,,,,,,No,,,Yes,Yes,,,,,,,,Yes,,Windows 10 Pro,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
153,14 in,1920 x 1080,No,,Core i7,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,No,,Yes,13 Hour,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
154,,1920 x 1080,,,Core i7,,,,,,,,,,,,,,,,,,No,,,Yes,,,,,,,DVD-Writer,,Yes,,Windows 10 Home (English),,,,Ethernet,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
155,12.5 in,1920 x 1080,Yes,Yes,Intel Core i7-5600U,2,2.1 GHz,,,4MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
156,14 in,1920x1080,No,No,Intel Core i7-5600U,2,2.6 GHz,,,4M Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
157,14.1 in,1920 x 1080,No,No,Intel Core I7-6600U,2,2.6 GHz,,,,"14.0” FHD (1920 x 1080) Anti Glare (16:9) WLED, 300 nits, Magnesium Alloy LCD back",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
158,15.6 in,1366 x 768,Yes,No,Intel i5-8250U,4,,,,6 MB,,,,,,,,,,,,,,,,,,,,2 TB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
159,15.6 in,1366 x 768,No,No,7th Generation AMD A6-9225 Processor,2,2.6 GHz,,,1 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
160,15.6 in,1366 x 768,No,No,AMD A6-9225,2,2.6 GHz,,,1 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
161,15.6 in,1366 X 768,No,No,AMD A6-9225,2,2.6 GHz,,,1MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
162,14 in,1366 x 768,No,,AMD A6-9225,2,2.6 GHz,,,1 MB L2,,,,,,,,,,,,,,,,,,,,500 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
163,15.6 in,1366 x 768,No,No,AMD Dual Core R3-3200U,2,2.6 GHz,,,,Slim 200nits; HD 16:9; Anti-Glare; NTSC: 45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
164,15.6 in,1366 x 768,No,No,AMD Dual Core R3-3200U,4,2.5 GHz,,,,Slim 200nits; HD; Anti-Glare; NTSC: 45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
165,15.6 in,1366 x 768,No,No,AMD Dual Core A6-9225,2,2.6 GHz,,,,,,,,,,,,,,,,,,,,,,,1 TB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
166,15.6 in,1366 x 768,No,No,10th Gen Intel Core i3-1005G1,2,1.2 GHz,,,4 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
