,Screen Size,Native Screen Resolution,Touchscreen Display,Convertible/Hybrid Display,Processor Type,Processor Cores,Processor Speed,Storage Drive Type,2-in-1,Processor Cache,Other Display Features,Year of Original Release,Display Type,Touchscreen,3D Capable Display,Screen Finish,Built-in Storage - Capacity GB,Built-in Storage Type,Solid-State Drive Capacity,RAM Size,RAM,Graphics Card,ENERGY STAR Qualified,Built-in Memory Card Reader,USB Ports,Integrated Wi-Fi,Webcam,Keyboard Language,Backlit Keyboard,Hard Disk Drive Capacity,Hard Drive Speed (Revolutions Per Minute),Colour,Optical Drive,Front Camera Still Resolution,Integrated Bluetooth,Approximate Battery Life,Pre-loaded Operating System,Compatible Memory Card Types,Operating System Language,Card Reader,Ethernet Port,Video Memory Configuration,Battery Type,Width,Height,Weight,Operating System,windows laptop,Type,Digital Download,CPU,Memory (RAM),Graphics,Disk Space,Internal or External,Other Input or Output Ports,Display Ports,HDCP Compliant,VR Ready,macbook,macbook_air,External Controls & Buttons,Wireless Carrier,Product Condition,Dedicated Video Memory Size,macbook_pro,Loaded Software,Wireless Display (WiDi) Capable,surface,chromebook,Battery - Number of Cells,gaming_laptop
17,15 in,3240 x 2160 pixel (260 ppi),,,,,,,1.0,,,,PixelSense,Yes,No,Glossy,256 GB,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,Windows 10 Pro,,,,,,,,,,,,,,,,,,,,,,,,,
18,13.3 in,1920 x 1080,Yes,Yes,Intel Core i7-7600U,2,2.8 GHz,,1.0,4 MB Intel Smart Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
19,13.3 in,1920 x 1080,Yes,Yes,10th Generation Intel Core i5-1035G4,4,1.1 GHz,,1.0,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
20,13.3 in,1920 x 1080,Yes,Yes,8th Generation Intel Core i7-8565U,4,1.8 GHz,,1.0,,13.3-Inch Diagonal FHD IPS Micro-Edge WLED-Backlit Touch Screen With Corning Gorilla Glass NBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,Yes,,Intel Core i5-8350U CPU @ 1.70GHz,,1.70 GHz,,1.0,,,,,,,,,,256 GB,8 GB,8GB RAM,Intel UHD Graphics 620,Yes,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14 in,1366 x 768,Yes,Yes,Intel Pentium Silver N5000,4,1.1 GHz,,1.0,,HD; Glossy,,,,,,,,,,,,,,,,,,,64 GB,Not Applicable,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,FHD IPS Touchscreen (1920 x 1080),Yes,No,INTEL CORE I7-8550U CPU @ 1.80GHZ,,,,1.0,,,,,,,,,,,,16 GB,Intel UHD Graphics 620,,,"USB 3.1 Gen 1, USB 3.1 Gen 1, USB 3.1 Gen 1 Type-C™ (DP/Power Delivery)",802.11ac 2x2 WiFi and Bluetooth,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13 in,"13.4-inch, FHD+ (1920 X 1200), 16:10, InfinityEdge Touch Display",No,,"10th Generation Intel® Core™ i7-1065G7 Processor (8MB Cache, up to 3.9 GHz)",,,,1.0,,,,,,,,,,256 GB,16 GB,16 GB,Intel® Iris Plus Graphics,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13.3 in,1920 x 1080,Yes,Yes,Intel Core i7 - 7600U,2,2.8 GHz,,1.0,4 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
26,14 in,1920 X 1080 (FHD),Yes,Yes,Intel Core i5-10210U,4,1.6 GHz,,1.0,,,,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,0.00 cm,0.00 cm,4.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
